Date,Open,High,Low,Close,Volume,Adj. Close*
11-Sep-34,89.27,89.75,88.42,89.25,6300,89.25
10-Sep-34,90.83,91.32,89.04,89.27,7000,89.27
7-Sep-34,91.82,92.52,90.50,90.99,6900,90.99
6-Sep-34,93.65,94.05,91.67,91.82,6000,91.82
5-Sep-34,92.64,93.96,92.64,93.65,4800,93.65
4-Sep-34,92.59,92.59,91.74,92.30,3100,92.30
31-Aug-34,92.76,93.05,92.05,92.86,4000,92.86
30-Aug-34,93.59,93.59,92.01,92.76,6500,92.76
29-Aug-34,94.19,95.59,93.64,93.69,7600,93.69
28-Aug-34,94.46,94.48,93.55,94.19,4000,94.19
27-Aug-34,95.31,95.31,94.25,94.46,5300,94.46
24-Aug-34,94.05,95.55,93.85,95.48,7500,95.48
23-Aug-34,94.32,94.97,93.64,94.05,7500,94.05
22-Aug-34,92.68,94.95,92.68,94.32,13000,94.32
21-Aug-34,90.87,92.70,90.87,92.57,5800,92.57
20-Aug-34,90.86,91.02,90.08,90.44,2800,90.44
17-Aug-34,91.69,92.25,91.00,91.12,4800,91.12
16-Aug-34,91.08,92.51,91.08,91.69,6100,91.69
15-Aug-34,91.12,91.70,90.66,91.00,5800,91.00
14-Aug-34,91.80,91.98,90.82,91.12,5300,91.12
13-Aug-34,89.79,92.56,89.69,91.80,8100,91.80
10-Aug-34,91.34,91.47,89.39,89.66,7700,89.66
9-Aug-34,88.97,91.80,87.19,91.34,14200,91.34
8-Aug-34,87.47,89.28,87.16,88.97,6900,88.97
7-Aug-34,88.11,89.10,86.70,87.47,6100,87.47
6-Aug-34,88.43,88.51,86.32,88.11,7800,88.11
3-Aug-34,90.87,91.08,89.82,90.14,4700,90.14
2-Aug-34,90.57,91.12,89.75,90.87,5600,90.87
1-Aug-34,88.55,90.96,88.55,90.57,7800,90.57
31-Jul-34,88.17,88.51,87.17,88.05,3600,88.05
30-Jul-34,88.72,88.96,86.90,88.17,8100,88.17
27-Jul-34,86.64,88.86,86.64,87.84,22100,87.84
26-Jul-34,91.32,91.32,84.58,85.51,33400,85.51
25-Jul-34,91.01,92.08,90.09,91.57,13500,91.57
24-Jul-34,91.98,92.91,90.63,91.01,16000,91.01
23-Jul-34,94.62,95.17,91.96,91.98,18800,91.98
20-Jul-34,97.20,97.20,94.43,94.74,12400,94.74
19-Jul-34,98.26,98.70,96.92,97.24,6100,97.24
18-Jul-34,97.18,98.45,97.18,98.26,4900,98.26
17-Jul-34,97.04,97.75,96.50,96.79,6200,96.79
16-Jul-34,98.51,98.51,96.91,97.04,5900,97.04
13-Jul-34,98.32,99.08,97.66,98.82,5300,98.82
12-Jul-34,98.67,99.01,97.93,98.32,4700,98.32
11-Jul-34,98.12,99.35,98.12,98.67,6500,98.67
10-Jul-34,97.04,98.63,97.02,98.07,6500,98.07
9-Jul-34,97.15,97.54,96.54,97.04,3200,97.04
6-Jul-34,96.56,97.80,96.56,97.32,4600,97.32
5-Jul-34,95.19,96.92,95.19,96.44,4400,96.44
3-Jul-34,94.80,95.13,94.25,94.77,4000,94.77
2-Jul-34,95.71,95.71,94.59,94.80,4100,94.80
29-Jun-34,96.84,96.84,95.59,95.75,4400,95.75
28-Jun-34,96.94,97.88,96.18,97.14,6400,97.14
27-Jun-34,97.33,98.31,96.74,96.94,6300,96.94
26-Jun-34,95.79,97.53,95.46,97.33,6200,97.33
25-Jun-34,96.59,97.03,95.49,95.79,4900,95.79
22-Jun-34,97.50,97.87,95.48,95.93,9300,95.93
21-Jun-34,98.25,98.62,97.39,97.50,5300,97.50
20-Jun-34,99.02,99.10,97.94,98.25,5500,98.25
19-Jun-34,100.42,101.11,98.75,99.02,8500,99.02
18-Jun-34,99.85,100.70,99.32,100.42,6100,100.42
15-Jun-34,97.23,99.29,97.23,98.70,7300,98.70
14-Jun-34,98.49,98.49,96.92,97.15,6300,97.15
13-Jun-34,98.78,99.92,98.32,98.75,8800,98.75
12-Jun-34,97.82,99.60,97.77,98.78,9500,98.78
11-Jun-34,98.70,98.70,97.40,97.82,7500,97.82
8-Jun-34,94.82,98.55,94.82,98.44,16100,98.44
7-Jun-34,94.77,95.24,94.04,94.72,4700,94.72
6-Jun-34,94.66,95.68,94.27,94.77,6700,94.77
5-Jun-34,92.74,94.94,92.74,94.66,7400,94.66
4-Jun-34,91.84,93.04,91.84,92.73,3600,92.73
1-Jun-34,93.71,93.71,91.70,91.79,6300,91.79
31-May-34,94.78,94.78,93.71,94.00,4400,94.00
29-May-34,95.56,95.85,94.85,95.32,3800,95.32
28-May-34,95.32,96.33,95.32,95.56,6200,95.56
25-May-34,93.37,94.96,93.25,94.50,5400,94.50
24-May-34,92.86,94.08,92.57,93.37,5000,93.37
23-May-34,93.61,93.74,92.23,92.86,6600,92.86
22-May-34,95.76,96.29,93.26,93.61,8300,93.61
21-May-34,95.13,95.96,94.81,95.76,3800,95.76
18-May-34,95.98,96.57,94.62,95.17,9100,95.17
17-May-34,92.73,96.17,92.63,95.98,12900,95.98
16-May-34,92.84,93.83,91.95,92.73,7200,92.73
15-May-34,91.81,93.65,91.47,92.84,8900,92.84
14-May-34,92.22,92.95,89.10,91.81,16800,91.81
11-May-34,93.91,95.19,92.99,93.18,10000,93.18
10-May-34,95.59,95.59,92.16,93.91,21300,93.91
9-May-34,97.16,97.81,95.38,95.71,10300,95.71
8-May-34,95.51,97.73,94.47,97.16,18600,97.16
7-May-34,98.20,98.71,94.30,95.51,23600,95.51
4-May-34,99.02,100.66,99.02,99.29,8400,99.29
3-May-34,98.82,100.06,98.36,98.94,11100,98.94
2-May-34,100.62,101.36,98.47,98.82,13400,98.82
1-May-34,100.49,101.20,99.55,100.62,13400,100.62
30-Apr-34,102.72,102.72,100.31,100.49,14900,100.49
27-Apr-34,103.56,104.30,103.12,103.65,8400,103.65
26-Apr-34,105.05,105.51,102.95,103.56,16400,103.56
25-Apr-34,105.31,105.55,104.53,105.05,9600,105.05
24-Apr-34,105.92,106.19,104.70,105.31,12700,105.31
23-Apr-34,106.34,106.73,105.31,105.92,11100,105.92
